256 bit delayed
Ten Fold with Depth 4, initial sobolIdx 1, delay 1.
  1, 10109, 0.336, 255.613
  2, 10051, 0.237, 255.576
  3,  9938, 0.175, 255.059
  4,  9833, 0.110, 253.813
  5, 10161, 0.080, 253.009
  6, 10167, 0.066, 251.481
  7,  9821, 0.051, 246.080
  8, 10110, 0.044, 239.255
  9,  9780, 0.032, 197.947
 10,   430, 0.024, 142.237

Ten Fold with Depth 2, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9707, 0.640, 255.098
  1,  9795, 0.238, 255.502
  2, 10139, 0.163, 255.285
  3,  9993, 0.152, 255.030
  4, 10012, 0.129, 254.726
  5, 10187, 0.102, 254.092
  6, 10140, 0.083, 253.481
  7,  9970, 0.076, 250.423
  8, 10099, 0.060, 240.285
  9,  9585, 0.038, 199.448
 10,   373, 0.045, 140.166

Ten Fold with Depth 2, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9638, 0.910, 254.347
  1, 10035, 0.223, 254.931
  2,  9906, 0.157, 254.743
  3, 10181, 0.132, 254.087
  4,  9819, 0.102, 253.894
  5, 10067, 0.086, 254.146
  6, 10049, 0.087, 253.590
  7, 10057, 0.072, 247.271
  8, 10041, 0.053, 236.794
  9,  9814, 0.035, 199.272
 10,   393, 0.059, 145.784

Ten Fold with Depth 2, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9706, 0.690, 255.197
  1, 10036, 0.275, 255.015
  2, 10290, 0.173, 255.062
  3,  9936, 0.152, 254.786
  4,  9799, 0.124, 253.195
  5, 10097, 0.110, 252.814
  6, 10009, 0.088, 252.475
  7,  9918, 0.069, 247.561
  8,  9990, 0.050, 231.330
  9,  9847, 0.032, 193.473
 10,   372, 0.000, 154.841

Ten Fold with Depth 2, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9635, 0.738, 255.520
  1, 10157, 0.361, 255.656
  2, 10100, 0.200, 255.726
  3,  9952, 0.160, 255.480
  4,  9911, 0.124, 254.980
  5, 10111, 0.105, 254.141
  6, 10142, 0.087, 250.955
  7,  9954, 0.068, 249.920
  8,  9978, 0.050, 242.963
  9,  9705, 0.034, 201.413
 10,   355, 0.000, 146.617

Ten Fold with Depth 2, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9586, 1.292, 255.442
  1,  9949, 0.220, 255.711
  2, 10041, 0.174, 255.326
  3,  9877, 0.133, 254.615
  4,  9916, 0.109, 253.232
  5, 10361, 0.093, 253.175
  6,  9951, 0.078, 251.582
  7,  9940, 0.064, 245.918
  8, 10146, 0.051, 231.634
  9,  9843, 0.033, 195.156
 10,   390, 0.037, 138.010

Ten Fold with Depth 2, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9817, 1.117, 253.655
  1,  9918, 0.393, 251.549
  2, 10106, 0.266, 251.831
  3, 10006, 0.171, 250.544
  4,  9951, 0.122, 249.183
  5, 10088, 0.104, 248.172
  6, 10027, 0.076, 245.502
  7,  9868, 0.062, 238.360
  8, 10166, 0.052, 227.208
  9,  9662, 0.037, 195.511
 10,   391, 0.025, 144.455





Ten Fold with Depth 1, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9728, 0.639, 249.976
  1,  9853, 0.298, 245.580
  2, 10053, 0.249, 249.913
  3, 10076, 0.223, 248.759
  4,  9923, 0.194, 247.188
  5, 10131, 0.182, 247.126
  6,  9915, 0.161, 241.615
  7, 10122, 0.118, 227.252
  8, 10042, 0.077, 202.141
  9,  9773, 0.038, 170.353
 10,   384, 0.084, 148.844

Ten Fold with Depth 1, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9755, 0.751, 255.733
  1, 10032, 0.381, 255.450
  2, 10104, 0.254, 255.706
  3, 10243, 0.189, 255.381
  4,  9789, 0.163, 251.905
  5, 10211, 0.140, 254.688
  6, 10052, 0.119, 254.868
  7,  9828, 0.101, 252.830
  8, 10027, 0.066, 248.590
  9,  9598, 0.034, 198.649
 10,   361, 0.051, 146.343

