Ten Fold with Depth 4, initial sobolIdx 1, delay 0.
  3,  6670, 0.195, 256.000
  4,  8955, 0.166, 256.000
  5, 11300, 0.108, 255.506
  6, 13018, 0.078, 253.851
  7, 14765, 0.058, 246.254
  8, 17115, 0.014, 243.963
  9, 18828, 0.034, 246.774
 10,   369, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 5, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   770, 2.511, 256.000
  1,  3178, 0.819, 256.000
  2,  5048, 0.234, 256.000
  3,  6610, 0.061, 255.217
  4,  8854, 0.032, 254.699
  5, 11368, 0.046, 254.499
  6, 13021, 0.022, 248.904
  7, 14651, 0.029, 237.165
  8, 17239, 0.061, 255.771
  9, 18878, 0.034, 222.198
 10,   383, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 6, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   835, 2.630, 256.000
  1,  3187, 0.942, 256.000
  2,  5143, 0.306, 256.000
  3,  6806, 0.051, 251.895
  4,  8974, 0.047, 246.489
  5, 11264, 0.077, 255.411
  6, 12737, 0.054, 253.921
  7, 14885, 0.050, 242.379
  8, 17110, 0.023, 217.060
  9, 18624, 0.046, 237.057
 10,   435, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 7, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   779, 2.491, 256.000
  1,  3079, 0.910, 256.000
  2,  5074, 0.373, 256.000
  3,  6562, 0.345, 256.000
  4,  9145, 0.290, 256.000
  5, 11544, 0.153, 256.000
  6, 12799, 0.082, 254.849
  7, 14775, 0.025, 239.260
  8, 17194, 0.016, 222.678
  9, 18672, 0.043, 239.320
 10,   377, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 8, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   791, 2.468, 256.000
  1,  3132, 1.637, 256.000
  2,  5064, 0.776, 256.000
  3,  6601, 0.348, 256.000
  4,  9041, 0.236, 255.830
  5, 11320, 0.108, 254.646
  6, 12838, 0.068, 253.006
  7, 14789, 0.025, 239.744
  8, 17171, 0.049, 252.164
  9, 18872, 0.034, 225.533
 10,   381, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 9, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   769, 2.769, 256.000
  1,  3087, 1.140, 256.000
  2,  5063, 0.303, 256.000
  3,  6572, 0.289, 256.000
  4,  8946, 0.228, 256.000
  5, 11440, 0.087, 256.000
  6, 12808, 0.061, 251.807
  7, 14789, 0.021, 218.540
  8, 17239, 0.034, 203.422
  9, 18879, 0.051, 227.323
 10,   408, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 10, delay 0.
Value range index, Freq, Final Error, LowErrLen:
  0,   807, 3.129, 256.000
  1,  3138, 1.581, 256.000
  2,  4991, 0.779, 256.000
  3,  6751, 0.440, 256.000
  4,  8841, 0.242, 256.000
  5, 11281, 0.147, 256.000
  6, 12926, 0.069, 253.321
  7, 14691, 0.038, 197.949
  8, 17251, 0.035, 187.680
  9, 18940, 0.037, 192.762
 10,   383, 0.000, 256.000




Ten Fold with Depth 2, initial sobolIdx 1, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   802, 2.476, 256.000
  1,  3039, 0.767, 256.000
  2,  5124, 0.346, 256.000
  3,  6643, 0.147, 243.714
  4,  8998, 0.047, 181.380
  5, 11250, 0.030, 121.019
  6, 13004, 0.046, 164.098
  7, 14519, 0.039, 163.732
  8, 17415, 0.023, 31.025
  9, 18794, 0.014, 121.968
 10,   412, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 2, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   832, 4.134, 256.000
  1,  3079, 1.677, 256.000
  2,  5106, 0.816, 256.000
  3,  6632, 0.528, 256.000
  4,  8960, 0.338, 256.000
  5, 11286, 0.180, 256.000
  6, 13007, 0.087, 255.766
  7, 14764, 0.024, 246.488
  8, 17321, 0.016, 107.614
  9, 18591, 0.022, 192.408
 10,   422, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   812, 2.470, 256.000
  1,  3057, 0.809, 256.000
  2,  5080, 0.379, 256.000
  3,  6633, 0.301, 256.000
